Genus	Num_Genomes	Mean	STDEV 	Threshold
g__Candidatus_Hepatoplasma	1	0.8522		
g__Zobellella	1	0.8529		
g__Buttiauxella	1	0.8534		
g__Dehalobacterium	1	0.8549		
g__Noviherbaspirillum	1	0.8561		
g__Salinivirga	1	0.8561		
g__Ectothiorhodospira	1	0.8563		
g__Salinispira	1	0.8565		
g__Epibacterium	1	0.8587		
g__Thermosulfidibacter	1	0.8587		
g__Acidiferrobacter	1	0.8592		
g__Chitinolyticbacter	1	0.8599		
g__Chthonomonas	1	0.8610		
g__Algibacter	1	0.8611		
g__Segniliparus	1	0.8614		
g__Candidatus_Protochlamydia	1	0.8615		
g__Nibricoccus	1	0.8625		
g__Marinithermus	1	0.8638		
g__Ammonifex	1	0.8642		
g__Tamlana	1	0.8648		
g__Nissabacter	1	0.8654		
g__Jeongeupia	1	0.8657		
g__Atlantibacter	1	0.8667		
g__Dyadobacter	1	0.8668		
g__Candidatus_Saccharimonas	1	0.8680		
g__Sediminispirochaeta	1	0.8681		
g__Litoreibacter	1	0.8684		
g__Flavivirga	1	0.8684		
g__Sulfuricella	1	0.8688		
g__Hoyosella	1	0.8694		
g__Prauserella	1	0.8698		
g__Pseudorhodoplanes	1	0.8708		
g__Truepera	1	0.8711		
g__Syntrophomonas	1	0.8719		
g__Wolinella	1	0.8719		
g__Sneathia	1	0.8720		
g__Peptoclostridium	1	0.8726		
g__Beijerinckia	1	0.8729		
g__Candidatus_Izimaplasma	1	0.8729		
g__Mycoavidus	1	0.8730		
g__Fastidiosipila	1	0.8735		
g__Sulfurovum	1	0.8742		
g__Paucibacter	1	0.8744		
g__Christensenella	1	0.8756		
g__Mobiluncus	1	0.8759		
g__Sulfuriferula	1	0.8759		
g__Terasakiella	1	0.8767		
g__Pistricoccus	1	0.8780		
g__Agarilytica	1	0.8781		
g__Sedimentitalea	1	0.8784		
g__Aminobacterium	1	0.8785		
g__Alkalilimnicola	1	0.8791		
g__Owenweeksia	1	0.8800		
g__Pelolinea	1	0.8807		
g__Denitrobacterium	1	0.8830		
g__Gallionella	1	0.8854		
g__Algoriphagus	1	0.8860		
g__Candidatus_Puniceispirillum	1	0.8861		
g__Chloroherpeton	1	0.8866		
g__Halocynthiibacter	1	0.8869		
g__Wenyingzhuangia	1	0.8871		
g__Tistrella	1	0.8879		
g__Bradymonas	1	0.8879		
g__Coriobacterium	1	0.8886		
g__Finegoldia	1	0.8901		
g__Thiohalobacter	1	0.8907		
g__Denitrovibrio	1	0.8938		
g__Geovibrio	1	0.8941		
g__Lacimicrobium	1	0.8952		
g__Sebaldella	1	0.8962		
g__Methylophilus	1	0.8964		
g__Melioribacter	1	0.8969		
g__Tolumonas	1	0.8988		
g__Butyricimonas	1	0.9014		
g__Methylobacillus	1	0.9019		
g__Mogibacterium	1	0.9032		
g__Desulfurivibrio	1	0.9039		
g__Phytobacter	1	0.9043		
g__Lawsonia	1	0.9056		
g__Desulfofarcimen	1	0.9064		
g__Coraliomargarita	1	0.9065		
g__Salinicoccus	1	0.9070		
g__Thiolapillus	1	0.9074		
g__Candidatus_Fokinia	1	0.9076		
g__Oleispira	1	0.9078		
g__Sporomusa	1	0.9103		
g__Hydromonas	1	0.9106		
g__Thermacetogenium	1	0.9119		
g__Nitratifractor	1	0.9137		
g__Syntrophothermus	1	0.9145		
g__Candidatus_Nitrosoglobus	1	0.9146		
g__Cryptobacterium	1	0.9148		
g__Weeksella	1	0.9151		
g__Nitratiruptor	1	0.9159		
g__Allofrancisella	1	0.9165		
g__Sulfuricurvum	1	0.9166		
g__Soehngenia	1	0.9167		
g__Reinekea	1	0.9180		
g__Saccharibacillus	1	0.9182		
g__Mahella	1	0.9184		
g__Ilyobacter	1	0.9187		
g__Undibacterium	1	0.9205		
g__Frateuria	1	0.9213		
g__Jeotgalibacillus	1	0.9214		
g__Paraliobacillus	1	0.9226		
g__Herminiimonas	1	0.9228		
g__Oligella	1	0.9238		
g__Roseburia	1	0.9242		
g__Zobellia	1	0.9272		
g__Pseudoclostridium	1	0.9300		
g__Candidatus_Ruthia	1	0.9304		
g__Vampirococcus	1	0.9320		
g__Methylococcus	1	0.9320		
g__Metakosakonia	1	0.9326		
g__Chania	1	0.9329		
g__Gallaecimonas	1	0.9332		
g__Anaerococcus	1	0.9346		
g__Thermovirga	1	0.9351		
g__Candidatus_Nucleicultrix	1	0.9357		
g__Rickettsiella	1	0.9369		
g__Hydrocarboniclastica	1	0.9376		
g__Asaia	1	0.9380		
g__Sulfuriflexus	1	0.9385		
g__Stigmatella	1	0.9395		
g__Sporanaerobacter	1	0.9402		
g__Salinisphaera	1	0.9416		
g__Filimonas	1	0.9419		
g__Lentibacillus	1	0.9434		
g__Ruminiclostridium	1	0.9438		
g__Saccharospirillum	1	0.9439		
g__Cetia	1	0.9442		
g__Waddlia	1	0.9450		
g__Simkania	1	0.9454		
g__Paeniclostridium	1	0.9464		
g__Oceanicoccus	1	0.9481		
g__Halotalea	1	0.9482		
g__Amphibacillus	1	0.9496		
g__Desulfohalobium	1	0.9496		
g__Maricaulis	1	0.9499		
g__Tomitella	1	0.9522		
g__Zymobacter	1	0.9525		
g__Oleiphilus	1	0.9531		
g__Desulfocapsa	1	0.9532		
g__Symbiobacterium	1	0.9534		
g__Actinobaculum	1	0.9534		
g__Lachnoanaerobaculum	1	0.9536		
g__Hydrogenophilus	1	0.9536		
g__Hungatella	1	0.9537		
g__Salinicola	1	0.9541		
g__Coprothermobacter	1	0.9544		
g__Woeseia	1	0.9557		
g__Anoxybacter	1	0.9557		
g__Lonsdalea	1	0.9563		
g__Scardovia	1	0.9567		
g__Psychromicrobium	1	0.9567		
g__Gynuella	1	0.9574		
g__Acetoanaerobium	1	0.9575		
g__Steroidobacter	1	0.9575		
g__Cobetia	1	0.9578		
g__Plesiomonas	1	0.9585		
g__Thermomicrobium	1	0.9586		
g__Atopobium	1	0.9587		
g__Gibbsiella	1	0.9588		
g__Nitrincola	1	0.9590		
g__Longibaculum	1	0.9592		
g__Bacterioplanes	1	0.9595		
g__Aminipila	1	0.9597		
g__Microvirgula	1	0.9609		
g__Zhongshania	1	0.9609		
g__Halothermothrix	1	0.9619		
g__Aquibacillus	1	0.9625		
g__Syntrophobotulus	1	0.9628		
g__Acidihalobacter	1	0.9644		
g__Caloramator	1	0.9649		
g__Candidatus_Babela	1	0.9656		
g__Gottschalkia	1	0.9661		
g__Natranaerobius	1	0.9667		
g__Paenalcaligenes	1	0.9671		
g__Simiduia	1	0.9674		
g__Marinilactibacillus	1	0.9682		
g__Limnobaculum	1	0.9683		
g__Spongiibacter	1	0.9686		
g__Granulosicoccus	1	0.9687		
g__Teredinibacter	1	0.9705		
g__Marinobacterium	1	0.9708		
g__Halocella	1	0.9713		
g__Kurthia	1	0.9715		
g__Crassaminicella	1	0.9715		
g__Hirschia	1	0.9723		
g__Izhakiella	1	0.9724		
g__Mageeibacillus	1	0.9725		
g__Mycetohabitans	1	0.9727		
g__Rummeliibacillus	1	0.9730		
g__Elusimicrobium	1	0.9735		
g__Ureibacillus	1	0.9747		
g__Haematospirillum	1	0.9758		
g__Pradoshia	1	0.9761		
g__Ketobacter	1	0.9767		
g__Pontimonas	1	0.9768		
g__Agarivorans	1	0.9781		
g__Salimicrobium	1	0.9782		
g__Dolosigranulum	1	0.9798		
g__Pseudohongiella	1	0.9805		
g__Saccharophagus	1	0.9807		
g__Shimwellia	1	0.9811		
g__Ferrimonas	1	0.9815		
g__Caldanaerobacter	1	0.9816		
g__Litorilituus	1	0.9823		
g__Acidimicrobium	1	0.9823		
g__Thermosediminibacter	1	0.9824		
g__Saliniradius	1	0.9829		
g__Laceyella	1	0.9839		
g__Auricoccus	1	0.9852		
g__Anaerotignum	1	0.9870		
g__Candidatus_Desulforudis	1	0.9875		
g__Geosporobacter	1	0.9875		
g__Acetohalobium	1	0.9880		
g__Moritella	1	0.9885		
g__Parachlamydia	1	0.9895		
g__Oceanimonas	1	0.9902		
g__Salilacibacter	1	0.9909		
g__Turicibacter	1	0.9916		
g__Commensalibacter	1	0.9935		
g__Kerstersia	1	0.9935		
g__Phascolarctobacterium	1	0.9941		
g__Halobacteroides	1	0.9965		
g__Sedimenticola	1	0.9977		
g__Carboxydothermus	1	0.9994		
g__Neptunomonas	1	0.9994		
g__Basilea	1	1.0000		
g__Thermincola	1	1.0000		
